feature,activation_frequency,auroc,status,mean_active_positive,mean_active_negative,abs_auroc_gap
31053,0.46865897378444993,0.7228286521680676,ranked,11.858316421508789,4.734359264373779,0.22282865216806758
21241,0.43398498767645083,0.7024716652359312,ranked,3.857872247695923,1.5831871032714844,0.2024716652359312
1410,0.4780136679363657,0.30504644206096376,ranked,1.501540184020996,6.682338237762451,0.19495355793903624
31514,0.3625644185525431,0.3307990801592933,ranked,0.30985027551651,2.4660239219665527,0.16920091984070668
29307,0.2738628725072821,0.6571701513209499,ranked,1.8428549766540527,0.6613185405731201,0.1571701513209499
17195,0.297109567555456,0.6491281730738813,ranked,1.5371103286743164,0.6449998617172241,0.14912817307388126
21029,0.4612928523414743,0.36725317554531506,ranked,2.61956787109375,7.3667755126953125,0.13274682445468494
19780,0.2369482410934349,0.3806232983054772,ranked,0.1330179125070572,1.1687922477722168,0.1193767016945228
17136,0.1836208828142505,0.6184535003995635,ranked,1.1751328706741333,0.38901421427726746,0.11845350039956348
17577,0.2683732915079543,0.38367828820225575,ranked,0.1647862195968628,1.2972941398620605,0.11632171179774425
11529,0.5204738964821869,0.6102616858602711,ranked,8.900171279907227,5.425980567932129,0.11026168586027107
16234,0.30761259242661887,0.6024283864979189,ranked,0.6894751191139221,0.3972528874874115,0.10242838649791886
17176,0.3462637239524983,0.5994773906044534,ranked,0.895679235458374,0.5450589060783386,0.09947739060445338
23959,0.2019661662558817,0.4006520591672041,ranked,0.0751885324716568,0.8732019066810608,0.09934794083279591
12485,0.2155780864889088,0.4042620291873638,ranked,0.09366350620985031,0.5834887027740479,0.09573797081263619
13353,0.15466054223616402,0.5930969601229211,ranked,0.5597824454307556,0.1975167989730835,0.09309696012292112
26254,0.2787362760475017,0.5887453802161634,ranked,1.2004886865615845,0.6495356559753418,0.0887453802161634
12301,0.48551982971095675,0.5849960016694312,ranked,8.549715042114258,6.668766021728516,0.08499600166943122
26732,0.18580551198745238,0.4151296201882533,ranked,0.08085618913173676,0.5574029088020325,0.08487037981174672
11579,0.40583688102173426,0.4183173204642629,ranked,1.1891851425170898,2.2483346462249756,0.0816826795357371
3754,0.4482130853685862,0.4185650732793609,ranked,1.2324875593185425,1.8903920650482178,0.08143492672063912
2653,0.3727593546941519,0.5811576571220791,ranked,1.8828916549682617,1.1901272535324097,0.08115765712207912
16283,0.36259242661886626,0.41895201837057205,ranked,0.569341778755188,1.1851693391799927,0.08104798162942795
67,0.4042964373739637,0.4193611838985818,ranked,2.3296191692352295,4.624819278717041,0.08063881610141821
28427,0.32492157741429534,0.42459562175163734,ranked,0.7327519059181213,1.4493112564086914,0.07540437824836266
22950,0.24509858839345733,0.5751780735469948,ranked,1.1377731561660767,0.788703441619873,0.0751780735469948
20325,0.3367129733363209,0.4262403384911707,ranked,0.38054606318473816,0.6716316938400269,0.07375966150882929
24890,0.27330271118082006,0.42885116679536095,ranked,0.20863810181617737,0.40964698791503906,0.07114883320463905
25668,0.15323213085368587,0.43022071465508127,ranked,0.06755933165550232,0.5921390652656555,0.06977928534491873
13285,0.1653316155052655,0.4309968375532841,ranked,0.11514917761087418,0.6611135601997375,0.0690031624467159
29397,0.1355870490701322,0.4316642763408112,ranked,0.05480464920401573,0.5103243589401245,0.06833572365918877
15311,0.18233251176338786,0.43283429523784356,ranked,0.12939663231372833,0.4979594945907593,0.06716570476215644
20591,0.26476025095227423,0.5671249626139465,ranked,0.9057575464248657,0.5952895283699036,0.06712496261394651
24851,0.20633542460228546,0.43362933022166333,ranked,0.19519348442554474,0.7468165755271912,0.06637066977833667
21069,0.1543244454402868,0.43457144921913476,ranked,0.08708823472261429,0.4366310238838196,0.06542855078086524
12545,0.34206251400403315,0.5652926977488563,ranked,4.989334583282471,3.034470558166504,0.06529269774885627
7888,0.17359399507058032,0.5649852963168266,ranked,0.5642460584640503,0.2905876338481903,0.06498529631682659
30371,0.24543468518933453,0.5647388325791415,ranked,1.956108808517456,1.2505457401275635,0.06473883257914148
2520,0.32382926282769436,0.4361574104280487,ranked,0.6012899875640869,1.0708835124969482,0.06384258957195132
5315,0.20709164239300917,0.4373702553413526,ranked,0.22123774886131287,0.5511502027511597,0.0626297446586474
12162,0.20961236836208827,0.437719623404712,ranked,0.23511731624603271,0.5762767791748047,0.06228037659528801
20812,0.0798790051534842,0.561113320610392,ranked,0.20904217660427094,0.06927144527435303,0.061113320610391986
31556,0.11323661214429756,0.5590487746676056,ranked,0.23331891000270844,0.10611332952976227,0.05904877466760561
25803,0.10172529688550302,0.5589906145278609,ranked,0.23361577093601227,0.095485620200634,0.05899061452786092
25113,0.127492717902756,0.5582497067531434,ranked,2.3189380168914795,1.195565938949585,0.05824970675314345
27573,0.10564642617073718,0.5581996995365568,ranked,0.21115422248840332,0.09042973071336746,0.05819969953655679
28999,0.31803159309881246,0.442008454168473,ranked,0.3314361870288849,0.5117573738098145,0.05799154583152699
31759,0.24117745910822316,0.4426805465535451,ranked,0.4474833607673645,0.9332019090652466,0.05731945344645489
23538,0.1333464037642841,0.4428689624893863,ranked,0.07550434023141861,0.677729070186615,0.057131037510613714
21429,0.2499719919336769,0.5570904554439128,ranked,1.4783105850219727,0.7780585289001465,0.05709045544391278
18112,0.2640040331615505,0.5570125968532446,ranked,0.9022167325019836,0.568591833114624,0.05701259685324456
1198,0.11390880573605199,0.4452105421211408,ranked,0.0259016714990139,0.155244842171669,0.054789457878859193
7560,0.14494174322204795,0.5544728896741158,ranked,0.5032700300216675,0.25218266248703003,0.05447288967411579
14265,0.11385278960340578,0.5543533424884229,ranked,0.5462287068367004,0.2005762755870819,0.05435334248842294
17837,0.2787922921801479,0.4467446621972359,ranked,0.5594413876533508,0.9160588979721069,0.05325533780276409
16998,0.05904100380909702,0.5531331225919248,ranked,0.15823037922382355,0.043980035930871964,0.05313312259192482
31422,0.32416535962357157,0.44777262701012954,ranked,0.7001951336860657,1.2851473093032837,0.05222737298987046
21096,0.06749943983867354,0.552148646588918,ranked,0.16329748928546906,0.052065908908843994,0.052148646588918046
6086,0.18017589065650907,0.5506445460083917,ranked,0.7322179675102234,0.5736643671989441,0.050644546008391744
5393,0.21832287698857272,0.5504431634703388,ranked,0.563103973865509,0.37559062242507935,0.050443163470338837
7498,0.16423930091866457,0.4502240394075964,ranked,0.16508707404136658,0.4090680480003357,0.04977596059240358
30293,0.180708043916648,0.5497272452616772,ranked,0.7572718858718872,0.442892849445343,0.049727245261677155
14783,0.10416199865561282,0.4505247398838372,ranked,0.02884947508573532,0.6209337711334229,0.04947526011616282
9765,0.17350997087161102,0.4506938926781212,ranked,0.14077164232730865,0.38327738642692566,0.04930610732187879
25625,0.1597580103069684,0.4509502449595332,ranked,0.1904766708612442,0.43853434920310974,0.049049755040466825
4538,0.3111136007170065,0.5486962304747741,ranked,1.6251463890075684,1.1589038372039795,0.048696230474774116
842,0.12063074165359623,0.547553133355693,ranked,0.47139668464660645,0.21056383848190308,0.047553133355693
13478,0.10486220031369034,0.4527926820215502,ranked,0.040405724197626114,0.32460319995880127,0.04720731797844979
27285,0.18997871386959445,0.5467328672793306,ranked,0.9946689009666443,0.8663346767425537,0.04673286727933057
24233,0.3335200537754873,0.45368421245379764,ranked,0.40026381611824036,0.5445705652236938,0.04631578754620236
9486,0.17905556800358502,0.5462442732384879,ranked,0.33322668075561523,0.1982642412185669,0.0462442732384879
24132,0.13399058928971544,0.45586264936896653,ranked,0.06666217744350433,0.16748425364494324,0.04413735063103347
18884,0.19549630293524536,0.455875287382818,ranked,0.2784970700740814,0.5457345247268677,0.04412471261718198
1049,0.16051422809769214,0.4563463904124905,ranked,0.14323385059833527,0.7203480005264282,0.04365360958750952
28110,0.11085592650683397,0.5436167908404888,ranked,0.20905710756778717,0.11069183796644211,0.04361679084048875
16872,0.29946224512659647,0.45700295769965776,ranked,0.9024747610092163,1.4786535501480103,0.042997042300342236
19374,0.05671633430427963,0.5429881142456681,ranked,0.18349561095237732,0.05512068793177605,0.04298811424566806
8259,0.07912278736276047,0.4580382441352426,ranked,0.009532072581350803,0.10273808985948563,0.04196175586475742
21724,0.1172977817611472,0.45859469588512564,ranked,0.08216210454702377,0.3184419274330139,0.041405304114874364
1269,0.2789323325117634,0.4596757235055106,ranked,0.4908677935600281,0.6587388515472412,0.040324276494489386
31520,0.19283553663455075,0.5400070735806061,ranked,0.292994886636734,0.2066289782524109,0.04000707358060607
8558,0.1382478153708268,0.539997103591901,ranked,0.7159889340400696,0.38504111766815186,0.039997103591901007
582,0.15222384046605422,0.539556087460538,ranked,0.48783060908317566,0.2972763478755951,0.03955608746053796
11255,0.1860295765180372,0.5392116959661886,ranked,0.472718209028244,0.3029322326183319,0.039211695966188564
11693,0.12466390320412278,0.4611016593745888,ranked,0.14128626883029938,0.3922233581542969,0.0388983406254112
29860,0.19488012547613712,0.5381388240774094,ranked,0.731768012046814,0.5861168503761292,0.03813882407740943
3253,0.19474008514452162,0.46195182699172394,ranked,0.2490251511335373,0.4407172203063965,0.038048173008276065
16462,0.1595339457763836,0.5370687971459703,ranked,1.0846738815307617,0.6822025775909424,0.037068797145970334
4161,0.17664687429979833,0.5370492026076054,ranked,0.8587784171104431,0.5232338905334473,0.03704920260760536
23312,0.14861079991037418,0.4632035913707956,ranked,0.1928737759590149,0.4046284854412079,0.03679640862920441
31036,0.14947904996639033,0.46348208264402796,ranked,0.09529796242713928,0.17834582924842834,0.03651791735597204
3926,0.07845059377100605,0.5356565693092495,ranked,0.1584349274635315,0.07841082662343979,0.03565656930924954
7099,0.1065706923593995,0.46476190903074505,ranked,0.08658166974782944,0.23120222985744476,0.035238090969254954
28348,0.0876652475913063,0.5350078375906703,ranked,0.3459261655807495,0.15006639063358307,0.03500783759067028
27544,0.08576069908133542,0.46518509994568236,ranked,0.042383648455142975,0.20044678449630737,0.03481490005431764
29669,0.1779632534169841,0.5343961942300738,ranked,0.876763641834259,0.60951167345047,0.034396194230073784
28908,0.08559265068339682,0.4658751832455839,ranked,0.04524535685777664,0.25128841400146484,0.03412481675441609
5454,0.14174882366121444,0.4660730271397585,ranked,0.14347103238105774,0.4435847997665405,0.03392697286024149
11258,0.15477257450145643,0.5338322579675432,ranked,0.40738239884376526,0.28141191601753235,0.03383225796754319
12336,0.2667768317275375,0.5336018220398694,ranked,1.1819981336593628,0.8949732780456543,0.03360182203986939
26334,0.17065314810665472,0.4665123413519228,ranked,0.21557185053825378,0.38480454683303833,0.03348765864807718
5898,0.08183956979610128,0.5332494601714511,ranked,0.4040381610393524,0.1706152856349945,0.03324946017145114
12333,0.12166704010755097,0.4671908482311363,ranked,0.15808609127998352,0.35256633162498474,0.032809151768863676
9672,0.12612032265292406,0.5321979015909204,ranked,0.4869920611381531,0.3710568845272064,0.0321979015909204
388,0.10021286130405557,0.5318328343059099,ranked,0.31940627098083496,0.18783631920814514,0.031832834305909885
22847,0.12833295989244903,0.5316744912261403,ranked,0.4158388376235962,0.2780691981315613,0.0316744912261403
20743,0.10267757114048846,0.5314072449767884,ranked,0.1944846510887146,0.10914670675992966,0.03140724497678837
9218,0.250840241989693,0.4686954150139515,ranked,0.39974841475486755,0.5858970284461975,0.03130458498604849
31381,0.13743558144745688,0.5312613320857535,ranked,1.2444705963134766,0.8527695536613464,0.031261332085753546
31733,0.08436029576518037,0.46886061070567614,ranked,0.04750572517514229,0.22809527814388275,0.03113938929432386
11544,0.12878108895361864,0.4688608325730304,ranked,0.22316154837608337,0.4347771108150482,0.031139167426969594
27936,0.23588393457315707,0.5307831349176393,ranked,0.5563493967056274,0.47435858845710754,0.030783134917639288
2727,0.2027784001792516,0.5306339726528209,ranked,2.611452579498291,1.7692674398422241,0.030633972652820862
7756,0.16849652699977594,0.53051997776788,ranked,0.8655322194099426,0.5690272450447083,0.030519977767879958
27364,0.29873403540219584,0.5304160090405948,ranked,0.8753515481948853,0.8132858276367188,0.030416009040594827
29628,0.19605646426170736,0.5300802001618744,ranked,0.8437209725379944,0.6902870535850525,0.030080200161874404
18127,0.1543524535066099,0.4700362830075714,ranked,0.24506087601184845,0.3862672746181488,0.029963716992428613
9842,0.10609455523190679,0.47016807221601525,ranked,0.09617841988801956,0.2275475561618805,0.029831927783984746
16057,0.23185077302263052,0.4701808675029279,ranked,0.3592138886451721,0.586439847946167,0.029819132497072076
23230,0.15328814698633206,0.5295462075668292,ranked,0.6919680237770081,0.4607103168964386,0.02954620756682924
28684,0.0372507282097244,0.5294551970164133,ranked,0.08678348362445831,0.02829064056277275,0.029455197016413304
24258,0.24358615281200985,0.5294025807520778,ranked,1.0266538858413696,0.9776222705841064,0.0294025807520778
11036,0.2704178803495407,0.5293312686525851,ranked,0.8264864087104797,0.6786231398582458,0.029331268652585063
8027,0.10785906341026215,0.5290811595500157,ranked,0.16526854038238525,0.10580083727836609,0.029081159550015667
6260,0.2627716782433341,0.529058363381475,ranked,1.1420873403549194,0.8649613261222839,0.02905836338147505
12790,0.08049518261259242,0.47136551560310536,ranked,0.052618782967329025,0.19460295140743256,0.028634484396894644
15837,0.08281985211740982,0.4718398314967435,ranked,0.08097413927316666,0.23804795742034912,0.028160168503256477
26613,0.1487228321756666,0.47243586269756194,ranked,0.27815863490104675,0.48524215817451477,0.027564137302438063
29317,0.08183956979610128,0.47250720007308256,ranked,0.06877725571393967,0.20677176117897034,0.027492799926917444
11352,0.12477593546941519,0.5273157497782002,ranked,0.3540876805782318,0.24809294939041138,0.02731574977820017
31993,0.132478153708268,0.5273038307269141,ranked,0.7929432988166809,0.45704129338264465,0.027303830726914113
16901,0.10407797445664352,0.5271740607922393,ranked,0.4665842652320862,0.2550238072872162,0.027174060792239274
619,0.20709164239300917,0.5270802052844827,ranked,0.7798044085502625,0.5875018835067749,0.02708020528448274
3864,0.06679923818059601,0.4730242942393843,ranked,0.029979746788740158,0.17858338356018066,0.026975705760615698
31359,0.16093434909253865,0.47309744025510947,ranked,0.18768125772476196,0.4726238548755646,0.02690255974489053
