n_train_groups,test_auroc_mean,test_auroc_std,n_replicates,test_auroc_min,test_auroc_max
500,0.7100031701981248,0.026751885150100612,5,0.676086848691871,0.7375638914433585
2000,0.8495241288200303,0.005617175815815202,5,0.844396333353162,0.8581150781919301
8000,0.906932193523702,0.0009361966080045858,5,0.9061331562287653,0.9084665047181859
20000,0.9281353196553541,0.0003427718253089203,5,0.927721684280975,0.9286575576786458
31000,0.9346489445882076,0.00011777270041668965,5,0.9345092150506773,0.9348118575473988
