partition,n_samples,n_features,input_dim,expansion_factor,reconstruction_mse,fraction_variance_unexplained,fraction_variance_explained,l0_mean,l0_std,device,dead_feature_fraction,n_dead_features,code_magnitude_mean
train,31241,32768,4096,8.0,0.01901557482779026,0.018391934395745883,0.9816080656042541,64.0,0.0,cuda:0,0.77294921875,25328,3.1602015495300293
validation,4463,32768,4096,8.0,0.02016270160675049,0.019536580268046028,0.980463419731954,64.0,0.0,cuda:0,0.86358642578125,28298,3.1598503589630127
test,8927,32768,4096,8.0,0.02016015537083149,0.019507862718150745,0.9804921372818493,63.999996185302734,0.0,cuda:0,0.80419921875,26352,3.1597583293914795
