layer,mean_validation_auroc,sd_across_seeds,seed_2026_validation_auroc,seed_2027_validation_auroc,seed_2028_validation_auroc,seed_2029_validation_auroc,seed_2030_validation_auroc
0,0.5,0.0,0.5,0.5,0.5,0.5,0.5
1,0.5,0.0,0.5,0.5,0.5,0.5,0.5
2,0.5916646715455467,0.0,0.5916646715455467,0.5916646715455467,0.5916646715455467,0.5916646715455467,0.5916646715455467
3,0.6263459877934536,0.0,0.6263459877934536,0.6263459877934536,0.6263459877934536,0.6263459877934536,0.6263459877934536
4,0.6549179196386782,0.0,0.6549179196386782,0.6549179196386782,0.6549179196386782,0.6549179196386782,0.6549179196386782
5,0.6559963634873424,0.0,0.6559963634873424,0.6559963634873424,0.6559963634873424,0.6559963634873424,0.6559963634873424
6,0.6634156976848686,0.0,0.6634156976848686,0.6634156976848686,0.6634156976848686,0.6634156976848686,0.6634156976848686
7,0.6956751885299588,0.0,0.6956751885299588,0.6956751885299588,0.6956751885299588,0.6956751885299588,0.6956751885299588
8,0.7487213250767673,0.0,0.7487213250767673,0.7487213250767673,0.7487213250767673,0.7487213250767673,0.7487213250767673
9,0.7834083930252004,0.0,0.7834083930252004,0.7834083930252004,0.7834083930252004,0.7834083930252004,0.7834083930252004
10,0.8038743814225825,1.2412670766236366e-16,0.8038743814225824,0.8038743814225824,0.8038743814225824,0.8038743814225824,0.8038743814225824
11,0.8342807462543849,0.0,0.8342807462543849,0.8342807462543849,0.8342807462543849,0.8342807462543849,0.8342807462543849
12,0.8525093231470718,0.0,0.8525093231470718,0.8525093231470718,0.8525093231470718,0.8525093231470718,0.8525093231470718
13,0.8632218653771353,1.2412670766236366e-16,0.8632218653771354,0.8632218653771354,0.8632218653771354,0.8632218653771354,0.8632218653771354
14,0.8850815627082744,1.2412670766236366e-16,0.8850815627082743,0.8850815627082743,0.8850815627082743,0.8850815627082743,0.8850815627082743
15,0.8884150326444953,0.0,0.8884150326444953,0.8884150326444953,0.8884150326444953,0.8884150326444953,0.8884150326444953
16,0.8954062246341019,0.0,0.8954062246341019,0.8954062246341019,0.8954062246341019,0.8954062246341019,0.8954062246341019
17,0.8957710981362332,0.0,0.8957710981362332,0.8957710981362332,0.8957710981362332,0.8957710981362332,0.8957710981362332
18,0.8972230430378183,1.2412670766236366e-16,0.8972230430378182,0.8972230430378182,0.8972230430378182,0.8972230430378182,0.8972230430378182
19,0.9009494260162356,0.0,0.9009494260162356,0.9009494260162356,0.9009494260162356,0.9009494260162356,0.9009494260162356
20,0.9020742429503923,1.2412670766236366e-16,0.9020742429503922,0.9020742429503922,0.9020742429503922,0.9020742429503922,0.9020742429503922
21,0.9064753722967905,0.0,0.9064753722967905,0.9064753722967905,0.9064753722967905,0.9064753722967905,0.9064753722967905
22,0.9076638174180186,1.2412670766236366e-16,0.9076638174180185,0.9076638174180185,0.9076638174180185,0.9076638174180185,0.9076638174180185
23,0.909104258918551,1.2412670766236366e-16,0.9091042589185508,0.9091042589185508,0.9091042589185508,0.9091042589185508,0.9091042589185508
24,0.9126760649453264,0.0,0.9126760649453264,0.9126760649453264,0.9126760649453264,0.9126760649453264,0.9126760649453264
25,0.9126127962395382,0.0,0.9126127962395382,0.9126127962395382,0.9126127962395382,0.9126127962395382,0.9126127962395382
26,0.915378645230079,1.2412670766236366e-16,0.9153786452300788,0.9153786452300788,0.9153786452300788,0.9153786452300788,0.9153786452300788
27,0.9163869902285798,0.0,0.9163869902285798,0.9163869902285798,0.9163869902285798,0.9163869902285798,0.9163869902285798
28,0.9190618904545499,1.2412670766236366e-16,0.9190618904545498,0.9190618904545498,0.9190618904545498,0.9190618904545498,0.9190618904545498
29,0.925793896439194,1.2412670766236366e-16,0.9257938964391941,0.9257938964391941,0.9257938964391941,0.9257938964391941,0.9257938964391941
30,0.9305771543893023,0.0,0.9305771543893023,0.9305771543893023,0.9305771543893023,0.9305771543893023,0.9305771543893023
31,0.9356447620341752,0.0,0.9356447620341752,0.9356447620341752,0.9356447620341752,0.9356447620341752,0.9356447620341752
