feature,selection_auroc,test_auroc,test_activation_frequency,status
22431,0.5888982018881036,0.5945935721537273,0.41671334154811246,ok
15369,0.416675047074074,0.4191332599251553,0.20891676935140585,ok
25373,0.5810955707726979,0.5885857861183781,0.26716702139576565,ok
29439,0.41918646476130794,0.4181866484697774,0.3879242746723423,ok
22244,0.4252040831411906,0.4246192841857973,0.4559202419625854,ok
31898,0.5713002899710833,0.5694178588905994,0.4381091072028677,ok
9741,0.5532159015826523,0.5490300164206919,0.1972667189425339,ok
8232,0.5526616797401022,0.5617008795862065,0.1356558754340764,ok
28996,0.463101259968416,0.4652712792809761,0.15313095104738433,ok
3717,0.46643691768525686,0.4683363432842928,0.19166573316903776,ok
