subset,auroc,ci_lower,ci_upper,n_test
bluff_vs_value,0.9338190140360343,0.9279619973119084,0.9399608053952472,8927
action_matched,0.9210698624157335,0.9114710678323215,0.9301966059187062,2960
position_matched,0.9201468712611776,0.9101479248796153,0.9296868443521552,3019
board_matched,0.9169051526981367,0.9062283293209646,0.9272771163887886,3024
street_matched,0.9157193994845177,0.9054766467427489,0.925813516121894,2994
made_hand_matched,0.8165037142593251,0.7997500236320244,0.8325066499442835,2400
