n_train_groups,test_auroc_mean,test_auroc_std,n_replicates,test_auroc_min,test_auroc_max
500,0.7458690557212642,0.018670600789085976,5,0.7248899281691333,0.7648700083981496
2000,0.8516371269738032,0.007436336901924621,5,0.842859488156776,0.8582538192890022
8000,0.9010645593595337,0.003030437091834658,5,0.8970710442478067,0.904284952287979
20000,0.923483125793785,0.001779430271681878,5,0.9216701822198969,0.9262292290469941
31000,0.9324417390729256,0.0013652306342047016,5,0.9311321632953957,0.9343220403711433
