feature,activation_frequency,auroc,status,mean_active_positive,mean_active_negative,abs_auroc_gap
22431,0.41351109119426394,0.5888982018881036,ranked,2.339963912963867,1.503420114517212,0.0888982018881036
15369,0.20919224736724176,0.416675047074074,ranked,0.16344279050827026,0.7331991791725159,0.08332495292592601
25373,0.27187429979834193,0.5810955707726979,ranked,2.7457785606384277,1.6352758407592773,0.08109557077269791
29439,0.3884158637687654,0.41918646476130794,ranked,0.761516809463501,1.4515504837036133,0.08081353523869206
22244,0.45681156172977816,0.4252040831411906,ranked,1.6321861743927002,2.678553581237793,0.07479591685880937
31898,0.4319123907685413,0.5713002899710833,ranked,3.4593937397003174,2.4186630249023438,0.07130028997108329
9741,0.19532825453730673,0.5532159015826523,ranked,0.5375826358795166,0.3736283779144287,0.053215901582652325
8232,0.13920008962581223,0.5526616797401022,ranked,0.4974643886089325,0.2387377768754959,0.05266167974010216
28996,0.15390432444544028,0.463101259968416,ranked,0.41006961464881897,0.8202465772628784,0.036898740031584
3717,0.1969807304503697,0.46643691768525686,ranked,0.9443639516830444,1.5726991891860962,0.03356308231474314
18797,0.12113488684741205,0.46824357793428395,ranked,0.26669979095458984,0.5843707919120789,0.03175642206571605
13013,0.14160878332959892,0.46983456064736834,ranked,0.1953236609697342,0.3343614935874939,0.030165439352631662
25485,0.18944656060945553,0.470213285412681,ranked,0.9580626487731934,1.4850460290908813,0.02978671458731902
13496,0.16051422809769214,0.5296859531071046,ranked,0.4563317596912384,0.3137519955635071,0.029685953107104646
24338,0.13875196056464262,0.5291477394154332,ranked,0.20412854850292206,0.13773785531520844,0.02914773941543325
18036,0.41863656733139143,0.5278615603204201,ranked,1.8793741464614868,1.5509400367736816,0.027861560320420087
9288,0.16549966390320411,0.47285380743252714,ranked,0.6878924369812012,1.0758365392684937,0.02714619256747286
8513,0.13726753304951825,0.5268748796861081,ranked,1.447172999382019,0.8721823692321777,0.026874879686108133
11061,0.22101165135559042,0.5264596254438696,ranked,2.9078855514526367,2.0615522861480713,0.026459625443869594
30769,0.17703898722832176,0.5263858699950319,ranked,1.7993913888931274,1.2816381454467773,0.026385869995031896
17541,0.06570692359399508,0.5263835754934061,ranked,0.33449918031692505,0.16660141944885254,0.026383575493406086
6501,0.10211740981402644,0.5259860032367696,ranked,0.42120984196662903,0.26470324397087097,0.025986003236769584
27105,0.06719135110911943,0.5257335855903368,ranked,0.43355831503868103,0.21525084972381592,0.025733585590336783
22787,0.14698633206363432,0.5252598707044683,ranked,1.2932571172714233,0.9415379762649536,0.025259870704468335
