condition,strength,mean_difference,ci_lower,ci_upper,n_pairs,n_groups,effect_size_dz,signed_consistency_rate,mean_relative_magnitude
wrong_layer,4.0,0.24311174775096414,0.2406411087543692,0.24589267567761397,500,500,8.239488808697137,1.0,0.08656696390236929
random_matched_norm,4.0,0.04683905068985904,0.0466961721236418,0.04699853216126072,500,500,27.24900253884234,1.0,0.08656696390236927
shuffled_label,4.0,0.027257870480757434,0.027167457593592112,0.027348232296602194,500,500,26.62278571784755,1.0,0.08656696390236929
negative_steering,4.0,0.01861067280619925,0.018542571483379063,0.018673002078747458,500,500,25.0069158626949,1.0,0.08656696390236929
orthogonal,4.0,0.008706833212939554,0.008679095921819206,0.008737402187363094,500,500,26.738855505035378,1.0,0.08656696390236929
activation_patch_mismatched_prompt,0.0,3.270756081229242e-05,-0.0028258345721873957,0.002948682731958918,500,500,0.001022185736714911,0.48,
wrong_token_position,4.0,-0.0006155771795718422,-0.0006204812211788621,-0.0006101623610036344,500,500,-10.428978869982302,1.0,0.08656696390236929
positive_steering,4.0,-0.019241752720172638,-0.019318450452620782,-0.019158940645962217,500,500,-20.81980650665252,1.0,0.08656696390236929
nuisance_steering_nuisance_made_hand,4.0,-0.030087385846576914,-0.030189955297220145,-0.02999062909382755,500,500,-25.88137958591751,1.0,0.08656696390236929
