condition,strength,mean_difference,ci_lower,ci_upper,n_pairs,n_groups,effect_size_dz,signed_consistency_rate,mean_relative_magnitude
positive_steering,0.5,-0.0023851281489630526,-0.002394050056739838,-0.002375444974346455,500,500,-22.53466856028017,1.0,0.010820870487796161
positive_steering,1.0,-0.004779430385804289,-0.004797162512820971,-0.00476004024655458,500,500,-22.337012222013307,1.0,0.021641740975592322
positive_steering,2.0,-0.009587375696401118,-0.009624027797957393,-0.00954743434488121,500,500,-21.820872209568012,1.0,0.043283481951184644
positive_steering,4.0,-0.019241752720172638,-0.019318450452620782,-0.019158940645962217,500,500,-20.81980650665252,1.0,0.08656696390236929
negative_steering,0.5,0.0023753407238303503,0.0023660388915893817,0.002383872655468643,500,500,23.232012002432644,1.0,0.010820870487796161
negative_steering,1.0,0.004739191294379361,0.004720782100387883,0.004756058606069858,500,500,23.46085402431398,1.0,0.021641740975592322
negative_steering,2.0,0.0094278442067713,0.009392185471733648,0.009460490177177804,500,500,23.968959590090364,1.0,0.043283481951184644
negative_steering,4.0,0.01861067280619925,0.018542571483379063,0.018673002078747458,500,500,25.0069158626949,1.0,0.08656696390236929
