subset,auroc,ci_lower,ci_upper,n_test
bluff_vs_value,0.9363283947852757,0.9303668281393075,0.9421687642793775,8927
position_matched,0.9259977581329126,0.916579503104068,0.9346956090204953,3019
street_matched,0.9241959421831604,0.9144161943985591,0.9335834748280493,2994
action_matched,0.9222574924340525,0.91251987819225,0.9317893327053172,2960
board_matched,0.9142515490291118,0.9038132009953846,0.9237962459064016,3024
made_hand_matched,0.8456157017648027,0.8299500203445618,0.8609039210332681,2400
