feature,selection_auroc,test_auroc,test_activation_frequency,status
13065,0.58767513141737,0.593285550923464,0.2668309622493559,ok
30934,0.42667804907979984,0.41998700290655405,0.17654307158059818,ok
8361,0.43056453603458344,0.43082713955575175,0.2975243642881147,ok
12826,0.5680027428871237,0.5756293984477172,0.3437885067771928,ok
14837,0.5677218812841822,0.5598659746624969,0.5031925618908928,ok
11672,0.43603236430210657,0.435482424540209,0.31679175534894144,ok
26488,0.4412914041554599,0.4472400136512613,0.4462865464321721,ok
4642,0.5529779446325132,0.554137018694644,0.20981292707516522,ok
18865,0.5522322484547697,0.5625472991223907,0.21339755797020277,ok
7669,0.552072206264249,0.5627062133906366,0.2249355886636048,ok
