n_train_groups,test_auroc_mean,test_auroc_std,n_replicates,test_auroc_min,test_auroc_max
500,0.7625399846629984,0.017646783255816038,5,0.7358879457170066,0.7784527977447743
2000,0.8770195051651406,0.006890684617502553,5,0.865513285448485,0.8831832760906498
8000,0.9168456223140253,0.001604733465258151,5,0.9151635482568313,0.919283368087499
20000,0.9303868971613966,0.0008352021440102436,5,0.9294910825597589,0.9316792201600159
31000,0.9361098056708087,0.00023301494916850378,5,0.9358307599435762,0.9363055707965086
