condition,strength,mean_difference,ci_lower,ci_upper,n_pairs,n_groups,effect_size_dz,signed_consistency_rate,mean_relative_magnitude
wrong_layer,4.0,0.2847891374232032,0.27853963568146783,0.2902179043860732,500,500,4.46842637617272,1.0,0.01098132465768686
positive_steering,4.0,0.015939862904697368,0.015698069229783996,0.016217813016158156,500,500,5.50195778216502,1.0,0.01098132465768686
nuisance_steering_nuisance_made_hand,4.0,0.009948863043622823,0.009812073863555301,0.010106389313045631,500,500,6.0917577832660355,1.0,0.010981324657686862
activation_patch_mismatched_prompt,0.0,0.0048278756762310925,-0.004887953185123745,0.015038331778836496,500,500,0.04097296957971625,0.546,
wrong_token_position,4.0,0.0,0.0,0.0,500,500,,0.0,0.01098132465768686
shuffled_label,4.0,-0.006353175805224431,-0.0065456814990706635,-0.006179036224826984,500,500,-3.0316680680061525,1.0,0.01098132465768686
random_matched_norm,4.0,-0.009600239734862868,-0.009850239230770398,-0.009370229317497463,500,500,-3.494854648763753,1.0,0.010981324657686859
negative_steering,4.0,-0.012480576155166883,-0.01279771126480703,-0.012190251587813566,500,500,-3.589014279724998,1.0,0.01098132465768686
orthogonal,4.0,-0.03201388071346004,-0.03279952049306872,-0.03129284520252977,500,500,-3.7125366222611054,1.0,0.010981324657686859
