n_train_groups,test_auroc_mean,test_auroc_std,n_replicates,test_auroc_min,test_auroc_max
500,0.8704719497670965,0.00846283360792059,5,0.8630336477712195,0.8821230389116659
2000,0.9118428196360346,0.003611873890432003,5,0.9082090609078807,0.9158234670501575
8000,0.9344661370183353,0.0030149191874595973,5,0.9314186313118887,0.9377567811059068
20000,0.9441512720060542,0.0005914357311643987,5,0.9433574644597247,0.9446618464319366
31000,0.9484422717524745,0.00043452011319086855,5,0.9478557671277412,0.9489641683145168
