condition,strength,mean_difference,ci_lower,ci_upper,n_pairs,n_groups,effect_size_dz,signed_consistency_rate,mean_relative_magnitude
positive_steering,0.5,0.001810099751242102,0.0017770064109257162,0.001846902725730473,500,500,4.534705262160715,1.0,0.0013726655822108576
positive_steering,1.0,0.0036747224552238335,0.0036094475276964473,0.0037475307067887237,500,500,4.660669106981798,1.0,0.002745331164421715
positive_steering,2.0,0.007561419896767576,0.0074331937804432546,0.007704931245230724,500,500,4.919717271224434,1.0,0.00549066232884343
positive_steering,4.0,0.015939862904697368,0.015698069229783996,0.016217813016158156,500,500,5.50195778216502,1.0,0.01098132465768686
negative_steering,0.5,-0.0017552617318353848,-0.0017922816138452008,-0.001721326978130166,500,500,-4.297739654847679,1.0,0.0013726655822108576
negative_steering,1.0,-0.0034558099841015366,-0.003531188506062287,-0.003386835867692629,500,500,-4.188228756650524,1.0,0.002745331164421715
negative_steering,2.0,-0.00668976712651417,-0.006845362476299181,-0.006546968284825128,500,500,-3.9754429927398545,1.0,0.00549066232884343
negative_steering,4.0,-0.012480576155166883,-0.01279771126480703,-0.012190251587813566,500,500,-3.589014279724998,1.0,0.01098132465768686
