partition,n_samples,n_features,input_dim,expansion_factor,reconstruction_mse,fraction_variance_unexplained,fraction_variance_explained,l0_mean,l0_std,device,dead_feature_fraction,n_dead_features,code_magnitude_mean
train,31241,32768,4096,8.0,0.03310897946357727,0.03139431787706358,0.9686056821229364,64.0,0.0,cuda:0,0.580963134765625,19037,3.6303200721740723
validation,4463,32768,4096,8.0,0.035198479890823364,0.03347762657048967,0.9665223734295103,64.0,0.0,cuda:0,0.75396728515625,24706,3.630145788192749
test,8927,32768,4096,8.0,0.03512725979089737,0.03313176808144108,0.9668682319185589,63.999996185302734,0.0,cuda:0,0.613494873046875,20103,3.632449150085449
