subset,auroc,ci_lower,ci_upper,n_test
bluff_vs_value,0.9494474258404576,0.9442058745707446,0.9542058506095371,8927
street_matched,0.9471717637777285,0.9388771659897439,0.9544158678206758,2994
position_matched,0.9451914408779973,0.9374714256672046,0.9525325152541987,3019
action_matched,0.9435556117687239,0.9350421649603881,0.9517479408618362,2960
board_matched,0.9361908057401132,0.9275634665566209,0.9440306916534035,3024
made_hand_matched,0.8643477632846316,0.8502724167169741,0.8789730603583856,2400
