feature,selection_auroc,test_auroc,test_activation_frequency,status
31053,0.7228286521680676,0.7259230730937342,0.4651058586311191,ok
21241,0.7024716652359312,0.7180495607640177,0.44135767895149547,ok
1410,0.30504644206096376,0.3053643472402113,0.4759717710317016,ok
31514,0.3307990801592933,0.32534742334239874,0.366640528733057,ok
29307,0.6571701513209499,0.6838457917866348,0.2830738209924947,ok
17195,0.6491281730738813,0.648009478604847,0.29001904335162987,ok
21029,0.36725317554531506,0.35991538769959536,0.4611851685896718,ok
19780,0.3806232983054772,0.37827319811348054,0.23837795451999552,ok
17136,0.6184535003995635,0.62583588365948,0.18673686568836115,ok
17577,0.38367828820225575,0.3815397242538667,0.2704155931443934,ok
