condition,strength,mean_difference,ci_lower,ci_upper,n_pairs,n_groups,effect_size_dz,signed_consistency_rate,mean_relative_magnitude
wrong_layer,4.0,0.2528885753456905,0.24978075099868596,0.2557745207041904,500,495,7.670772502457288,1.0,0.08646519058523672
random_matched_norm,4.0,0.047007814563668246,0.04536994881776702,0.048523392403182444,500,495,2.789474712585483,1.0,0.08646519058523669
shuffled_label,4.0,0.027199186953942623,0.025714891286907564,0.02859565052930319,500,495,1.7325690440771322,0.888,0.08646519058523669
negative_steering,4.0,0.017748680863092784,0.01628891230025694,0.01920129180542956,500,495,1.101920724789944,0.766,0.08646519058523672
orthogonal,4.0,0.00962682652155857,0.008164892508150797,0.011015865330014085,500,495,0.5914177442928916,0.61,0.08646519058523669
activation_patch_mismatched_prompt,0.0,-0.00020041022816495252,-0.003403255593993225,0.0027529402117509733,500,495,-0.005695891371990807,0.454,
wrong_token_position,4.0,-0.0008228169386515752,-0.0016177662023604544,-2.1775839968184296e-05,500,495,-0.08900826243078833,0.428,0.08646519058523672
positive_steering,4.0,-0.01916657138758283,-0.02043005870181282,-0.017925947280535794,500,495,-1.3951611582305181,0.822,0.08646519058523672
nuisance_steering_nuisance_made_hand,4.0,-0.02999418185480974,-0.031268776424379516,-0.02880527288013798,500,495,-2.2593190440282345,0.968,0.08646519058523669
