subset,auroc,ci_lower,ci_upper,n_test
bluff_vs_value,0.9360228768254024,0.9300388793728047,0.9418443953902071,8927
position_matched,0.9296924158780466,0.9202373664813044,0.9391384051057847,2996
board_matched,0.9250941620424918,0.9151346682529929,0.934436593182227,2996
street_matched,0.924419029556097,0.9140785784340312,0.9340245350387489,2996
action_matched,0.9206922091047967,0.9097361869796302,0.9305393172033096,2996
made_hand_matched,0.8426023655520811,0.8252698957104329,0.8572462570593193,2426
