condition,strength,mean_difference,ci_lower,ci_upper,n_pairs,n_groups,effect_size_dz,signed_consistency_rate,mean_relative_magnitude
positive_steering,0.5,-0.0020187311366569416,-0.002983256623621849,-0.0010609466173099242,500,495,-0.1866131755003305,0.436,0.01080814882315459
positive_steering,1.0,-0.004949867131820858,-0.006116896337520004,-0.0037406283209393243,500,495,-0.379472445040882,0.518,0.02161629764630918
positive_steering,2.0,-0.009378789629626468,-0.010768801681227175,-0.008007099089229076,500,495,-0.6136057823966782,0.602,0.04323259529261836
positive_steering,4.0,-0.01916657138758283,-0.02043005870181282,-0.017925947280535794,500,495,-1.3951611582305181,0.822,0.08646519058523672
negative_steering,0.5,0.0016260332210525235,0.00040694532436677647,0.002704185492335725,500,495,0.1299706647892284,0.44,0.01080814882315459
negative_steering,1.0,0.0042310993504188835,0.0030100887666545326,0.00553480150096814,500,495,0.30799478702505445,0.472,0.02161629764630918
negative_steering,2.0,0.008107266648256313,0.006741197902292287,0.009509268945429,500,495,0.5146893673409365,0.558,0.04323259529261836
negative_steering,4.0,0.017748680863092784,0.01628891230025694,0.01920129180542956,500,495,1.101920724789944,0.766,0.08646519058523672
