partition,n_samples,n_features,input_dim,expansion_factor,reconstruction_mse,fraction_variance_unexplained,fraction_variance_explained,l0_mean,l0_std,device,dead_feature_fraction,n_dead_features,code_magnitude_mean
train,31241,32768,4096,8.0,0.04721292480826378,0.04490557386477426,0.9550944261352258,64.0,0.0,cuda:0,0.790130615234375,25891,4.0501389503479
validation,4463,32768,4096,8.0,0.05053456500172615,0.04816477958460211,0.9518352204153979,64.0,0.0,cuda:0,0.831787109375,27256,4.047928333282471
test,8927,32768,4096,8.0,0.05041985213756561,0.048319909516351546,0.9516800904836484,63.999996185302734,0.0,cuda:0,0.75579833984375,24766,4.035189628601074
