subset,auroc,ci_lower,ci_upper,n_test
bluff_vs_value,0.9355415961803785,0.9292337715075182,0.9419698999737621,8927
position_matched,0.924275540738517,0.9145517687886258,0.9334248842718491,3019
action_matched,0.9220743937653304,0.9117485834010312,0.9318748176797421,2960
street_matched,0.9213641807615145,0.9107759100430536,0.9312433528855514,2994
board_matched,0.9125704084257383,0.9015876553133421,0.9222411805933541,3024
made_hand_matched,0.8243530688733471,0.8076284509046012,0.8406048121404996,2400
