n_train_groups,test_auroc_mean,test_auroc_std,n_replicates,test_auroc_min,test_auroc_max
500,0.7059117635377256,0.02512421271714401,5,0.6771161746419734,0.7302986743575721
2000,0.8488115710793824,0.004390886262715368,5,0.8443277715286376,0.8555055055234952
8000,0.908134550468961,0.0006749091104261574,5,0.9072999652608109,0.9089409561382242
20000,0.9287617033596731,0.0005666239804094592,5,0.9278449697636065,0.9292219571803999
31000,0.9353111098371212,0.00022092609601851213,5,0.9350191604689951,0.935507000764334
