feature,selection_auroc,test_auroc,test_activation_frequency,status
7102,0.42244630562882984,0.4219406554726084,0.3418841716142041,ok
17541,0.5655619014861316,0.5778201868655672,0.1722863223927411,ok
32235,0.5615539688351298,0.546081004313015,0.3475971771031702,ok
15049,0.441908866619323,0.450961716622747,0.39699787162540606,ok
28638,0.5541258385799626,0.560138963945466,0.14876218214405734,ok
4378,0.45318897643456396,0.4507822248213214,0.2398342108211045,ok
27167,0.5463233787798558,0.5318053631341543,0.5222359135207797,ok
30872,0.5452031087222382,0.5438083101244517,0.17026996751428253,ok
26710,0.5430057091693968,0.5458721738016193,0.18561666853366193,ok
8410,0.5422025493468944,0.5365426437475479,0.23244090960008962,ok
