partition,n_samples,n_features,input_dim,expansion_factor,reconstruction_mse,fraction_variance_unexplained,fraction_variance_explained,l0_mean,l0_std,device,dead_feature_fraction,n_dead_features,code_magnitude_mean
train,31241,32768,4096,8.0,0.019195489585399628,0.018442825921929938,0.9815571740780701,64.0,0.0,cuda:0,0.689666748046875,22599,3.023390531539917
validation,4463,32768,4096,8.0,0.020463256165385246,0.01955375756335804,0.9804462424366419,64.0,0.0,cuda:0,0.826446533203125,27081,3.02831768989563
test,8927,32768,4096,8.0,0.020341528579592705,0.019704019372879557,0.9802959806271204,63.999996185302734,0.0,cuda:0,0.752105712890625,24645,3.014191150665283
