idx,p_baseline,p_scale_1,p_scale_2,p_scale_5,p_scale_10,p_scale_20
34759,0.1435600251451264,0.139031125109778,0.1343072923147047,0.12121146563799463,0.10365436218345606,0.07550517871341378
31159,0.12285268787117551,0.11866557996794153,0.11526016299270744,0.10378757583413062,0.08811782877434714,0.06385042455000875
21208,0.11272410401222635,0.1090654976770918,0.10543929852992401,0.09523758113852315,0.08050682669406638,0.0593065481389555
38453,0.0974753544973555,0.09417740580707212,0.09098503518298735,0.08205897959725446,0.06964766550809087,0.05081529092248686
2844,0.16381833183725888,0.15923726890607717,0.15404145345245213,0.14004817787938958,0.11904685204502655,0.08733870504389991
8175,0.12892167752482764,0.12495259367525034,0.12085407973655114,0.1089873218316208,0.09228689903848414,0.06760282874238806
37753,0.11111039688769027,0.10784245501653025,0.10393402237433441,0.0940711472304024,0.07963402870845282,0.058139264835270155
39307,0.14799917232863935,0.1435161967000226,0.13878004917546644,0.12601306483206254,0.10676207448334268,0.07796747784778249
18495,0.13215394900027458,0.1276939708336109,0.12316392073911027,0.11171801784479826,0.09454487774551432,0.0692499485955065
38493,0.11401078204087654,0.1101816684872145,0.10630295282819806,0.09588011058191573,0.08155867398378969,0.05975169039824798
23374,0.13061302376476633,0.12682840332214737,0.12208753080768063,0.11068484987221976,0.09390624534574843,0.06851000961432135
21167,0.1405122602420948,0.13574002601090238,0.13110659625257154,0.11912147393154453,0.10165764039935436,0.0738334140503134
13198,0.14719146714059808,0.14242759143504954,0.1377086325925597,0.12517681359960173,0.10600628158556383,0.07728104987927514
30206,0.12881826539559732,0.12464156471661063,0.1199350131666178,0.10880360422084984,0.09231254870215196,0.06747318244715397
33882,0.11346236088800318,0.11009097288572488,0.10664405693585795,0.09626655595882008,0.08170593969696358,0.05951978853962337
7252,0.11453840276300678,0.11060362766212405,0.10670093966877117,0.09684303272723166,0.08197763844787674,0.060282373414940936
13762,0.10155920142784779,0.09798509937959131,0.09507700771156609,0.08571382406441717,0.07296861914024091,0.0529529306510297
13127,0.12713782857470254,0.12300463308666945,0.11934360581853999,0.10780847020993002,0.0910693993837358,0.06663153438943172
18941,0.1275829862839206,0.12342143384710566,0.11974938942680588,0.10813464539728727,0.09159064187684203,0.06730198285476624
27724,0.0688520381983545,0.06628408740148632,0.06403903082454167,0.05799967564230461,0.04875051252349826,0.03579690945854182
14074,0.16389836110761757,0.15813647101940784,0.15368575873273804,0.13955249549347679,0.11892221571290194,0.0867695626025424
9012,0.07818885055170285,0.07588489944777431,0.07320264056425554,0.06645433547893785,0.05573175425247498,0.040881105049907045
32858,0.10703295270834606,0.10383681636843606,0.09970396131650848,0.09032889994067823,0.07632306577182195,0.05557065736220022
23330,0.12334304734904182,0.11936846726551402,0.1154694885169192,0.10412165453825395,0.08868683960651777,0.0645491601811519
9506,0.14457251681043565,0.1400228682293117,0.13559895468036262,0.12266190803091773,0.1039717636073451,0.07632869599553914
