idx,p_baseline,p_scale_1,p_scale_2,p_scale_5,p_scale_10,p_scale_20
20978,0.09644606868546401,0.09964205172043494,0.1031419297202121,0.11447730614036523,0.13560742024473255,0.190032638877074
42022,0.13131227542563784,0.13530482444249883,0.13933027962810643,0.154194879305169,0.1806691201023716,0.24722030200536746
6638,0.14267023009470128,0.14746462342138267,0.1524625306601835,0.16838390893016802,0.19870056486033325,0.27040254134178376
12455,0.10176213650426894,0.10605372641760435,0.10982103502228517,0.12117204272120144,0.1435745730308076,0.20009715559624486
8992,0.11209175251781801,0.11547675374752134,0.11957971810672732,0.13255563586506378,0.15670960855277272,0.2165322564798834
16031,0.10433731439337703,0.10756201423465198,0.11142428201965662,0.12337540147830006,0.1463552415618716,0.20380202497921582
19369,0.1474661264694881,0.15298668197944562,0.1582437982412288,0.1744933398997415,0.20433089238140184,0.2774791391879948
16984,0.13610650910780137,0.1403421229431982,0.1453968700068058,0.16082824965424733,0.18896329576268112,0.25919940453893364
4162,0.1505007339341058,0.15594147756856452,0.1613877498522934,0.17764352081288637,0.2080691505586037,0.28130379271266015
559,0.11761944898869144,0.12164567952088771,0.12576156268000865,0.13875251807158412,0.16433242247768393,0.2273214928209482
11231,0.14643952163501092,0.15192140768261603,0.1567802681010871,0.17252033785676324,0.20318748613232082,0.27584529046931755
9246,0.11878862107391415,0.12333084714760145,0.12738161919621588,0.14091235951550407,0.16606540559630859,0.2293149099024012
36638,0.12610418069935875,0.13016814668274757,0.13470649089170936,0.1490824659788343,0.1760068345182398,0.2423546047606711
16283,0.1353428223437011,0.13951758473206274,0.14429563840262924,0.15907293920796833,0.18722777250264863,0.2553173619046603
31260,0.12051302535963081,0.1246635629046712,0.12908158412534274,0.14274064100664532,0.16773521004285424,0.23164959337831909
27141,0.10504294185509111,0.10846998090291333,0.11249926272483181,0.12505006191775983,0.14749027920576466,0.20564543521981832
34389,0.13724453261657904,0.14196528451690993,0.14625731108333354,0.16098159437162446,0.18941630800089246,0.25762467670912537
30754,0.12035090630387058,0.12423137056090858,0.1284714738216437,0.1417342456601021,0.1671056946177543,0.23082975275196888
3590,0.14060945465532268,0.14567554321895937,0.15070970213780757,0.16601041984642828,0.19483035208739,0.265966705847537
25843,0.1343148406614342,0.13907750284415277,0.14322700002149877,0.15822382135579238,0.18672837308898171,0.25379723505013546
27731,0.13534384883923006,0.13954403273824204,0.14450247147642886,0.15968583567245412,0.18780099187908725,0.2554157455288274
27287,0.10636720578243092,0.10974662771015223,0.11356049054432969,0.12585211848060054,0.1490548410103401,0.20749630287258394
25249,0.1524744032686475,0.158210061974505,0.16327820482597885,0.1795040043299221,0.21079375035292447,0.28363175218429637
13672,0.10044914345690525,0.1040786328060604,0.10792966701766486,0.11928750452396705,0.141251676108043,0.19681194847395928
80,0.10899815314145792,0.11232639699896205,0.11626324279113745,0.12869196635215044,0.15214942080097685,0.21001035456039083
7978,0.08229377247581181,0.08463442792223819,0.0880938157136106,0.09769167730985708,0.11633582846892626,0.16356921421112924
11163,0.09190827102713464,0.09502918714703815,0.09894498782585853,0.10885140778332052,0.12889997169485867,0.18131989963083894
17646,0.18078014760194097,0.18723592521123417,0.19305588418693978,0.21200895023070235,0.24656854545207857,0.32949820457472256
38823,0.11305599666354164,0.11669167010766818,0.1213774328992133,0.1334409118116352,0.15802994330635003,0.2179351039292228
1014,0.18027850457269634,0.18526670079633303,0.19188763824996072,0.21064678469652526,0.24588022290654488,0.3276696365433849
22481,0.11674384301645399,0.12043233405978286,0.12452758517111687,0.13806553108981903,0.16235368434839495,0.22405984695177666
25251,0.10648509848814226,0.11001873977988147,0.11394207314803963,0.12603624764660237,0.14972236910247155,0.2086569448691317
9243,0.09699706414907754,0.1005077488305781,0.10396756179117415,0.11525624640176567,0.13620286243196714,0.19074990353933832
12845,0.12213336846273302,0.12653316848315752,0.1308643153082718,0.144448317681397,0.1710076413869554,0.23562139792819986
16549,0.11043572948611473,0.1141087454020551,0.11843059335857029,0.13053997962690736,0.1546735911278553,0.21398434029767005
28956,0.11163831931449034,0.11552898928529054,0.11918839578837441,0.13207466769041076,0.15659768092608004,0.2161248437351678
23476,0.1365410728060352,0.14130741931872198,0.14590134222038476,0.16128929564123284,0.19024652605633058,0.2590062122072202
1028,0.09001975141311051,0.09286834242444428,0.09674625131696007,0.10657816312067389,0.12670008180448633,0.17743437084371
43800,0.08134303330245253,0.08388100029208052,0.08695591184025275,0.09671701416094641,0.1150061105739325,0.1629577165148428
8138,0.14411528521230987,0.1478830819303304,0.15401972556919397,0.16932324541619975,0.1991112170863001,0.27130740551821997
37802,0.14665493132092658,0.1508961942830159,0.15674002081836846,0.17257458550999694,0.20321419858485756,0.2751970853066373
31623,0.11764621748678503,0.12206687752286245,0.1258855886481773,0.13943748763329566,0.16438221238948933,0.22765309180594412
4256,0.12078272528187482,0.12453865533827527,0.12897115372826023,0.14230078249962483,0.16783389039776028,0.2303578052540364
16322,0.1267597075754551,0.13082494076930112,0.1357606466532727,0.14956788390832113,0.17684459117597787,0.2414946299282949
19179,0.13338387131456442,0.13818516217893584,0.14262979677856238,0.15715936122423074,0.18544059307760608,0.2531158214416585
37293,0.12160848089884654,0.1260879800984516,0.1298268133399302,0.14382449734883385,0.16922145242082867,0.23355048337340653
3032,0.10910446213927479,0.1125291748099473,0.11671331511813836,0.12881264359426056,0.152349658226436,0.21143245576738304
15872,0.14566184787222394,0.1501851387304458,0.1549462738664821,0.17094264117372138,0.20036526292008489,0.2719744716005554
25028,0.14141713576682183,0.14565291947905595,0.15115253145637664,0.1667342974257852,0.1957543160621726,0.26590184847013887
37602,0.152371096549818,0.15711523292227375,0.1628438315085936,0.17886427491780177,0.2102833360646892,0.2836357596241095
40857,0.12998821646269315,0.13372873566274754,0.1383330867530809,0.15267373625917582,0.17949649590305353,0.24504878520175988
29724,0.11845877463020132,0.12192970125277955,0.12634664952780078,0.13921113000214969,0.16461553368478452,0.22669189849264063
14742,0.13617208020743768,0.14024875175430426,0.14497148913695648,0.16033396974963213,0.1890046925780277,0.25990390386625434
30812,0.18406452010521443,0.19089493604943086,0.19671206559586185,0.21594027880352631,0.251630225186017,0.33350305787009915
41415,0.09232702687885888,0.09538391196637627,0.09874252395661903,0.10922700916896147,0.12979687998470119,0.18176627097680126
13404,0.201700065624068,0.20810205912424926,0.214639081561342,0.23518038697509522,0.2727858069397607,0.359441834373247
39599,0.10603292859922529,0.1095573318002615,0.11345801400569229,0.12559593736859126,0.1482220879421394,0.20555363965677104
15008,0.13442271430438246,0.13837396559537027,0.1433241586484981,0.15778229816087258,0.1859932558211296,0.2547598694469725
24022,0.10205543468931898,0.10562242703257115,0.10921695106259535,0.12096692359346534,0.1435931173290002,0.19934636959613344
33726,0.16706714742103665,0.17256699422314345,0.17831899391962025,0.1957342073027401,0.22816228701962016,0.3049555115507542
9423,0.12770470020374913,0.13201657242519688,0.13644342704851228,0.15043722938722112,0.17796051405071495,0.2438492458862011
37625,0.08556549889764169,0.08875154261695922,0.09204578003935049,0.10201136571515347,0.12137760420665168,0.17087754568709146
29249,0.09924749432456777,0.10271030042272028,0.1062663359854915,0.11786068150096743,0.13941379562161682,0.19452159417809153
33284,0.1309919978554012,0.1351136386142368,0.13942589497352598,0.15412370794095018,0.18120108380621405,0.24784977013607912
35289,0.11634097112387284,0.11991731743124816,0.12426372973366746,0.1376072375121229,0.16239865319171468,0.22486509125555731
17001,0.0907630856649768,0.09393998533898941,0.09746925123903717,0.10765161863620468,0.12858364603348588,0.18025163335666472
44385,0.11367427650563605,0.11768686357263232,0.12111621919966123,0.13427352416361998,0.1580548596553692,0.218774329849385
21330,0.1061419237732693,0.10958820155939333,0.11353016463387648,0.12608175394570761,0.1488143683363535,0.20747156676224796
9598,0.1385834745613537,0.1427605914459521,0.14810947059428675,0.16349445279008132,0.19142527288131894,0.26148237654247686
12263,0.12157342246536594,0.12539889739098128,0.13037118553068264,0.1437116724993371,0.16995934725506717,0.2343203681171911
16138,0.08887229370315468,0.09210952464536125,0.0954505587641157,0.10555051960755811,0.12593740080109436,0.17660414544683734
7905,0.11040352009827177,0.11433752039406338,0.11803185936955526,0.13041256060355313,0.15408506761142024,0.2133085445258668
7874,0.1475635831998177,0.15256595819521515,0.15777762152657732,0.17338292437917377,0.203192251896088,0.2742187865931702
29573,0.16456532210972755,0.1695413186679204,0.17495144774260787,0.1930913502608748,0.22595014702643396,0.3031188176614461
35493,0.14900803146277186,0.15403164270607805,0.15925702769004094,0.1750260063337734,0.2057803528256265,0.27819965178014894
18215,0.12425548314277919,0.12800489831477085,0.13237330185054758,0.14604975770926534,0.17203343038412383,0.23653031636354876
8397,0.13687568372864015,0.14115290026099347,0.14630494708367983,0.161321289317577,0.19029879141595776,0.259672262155002
10986,0.10765748938477492,0.11144283107687038,0.11551584520233078,0.12757442934082525,0.15105378301183747,0.20949177786909745
27618,0.14037829901797486,0.14527057613395053,0.14953804056916772,0.16541770753961552,0.194971895480932,0.2659760955459603
37955,0.10058186893835307,0.10391080863924092,0.10790139980541869,0.11909653234089097,0.14189987475017893,0.19727730332170568
31643,0.0991051927312872,0.10188614740909341,0.10566547749902767,0.11715235286272337,0.13897053483268998,0.19378616078243985
26906,0.1266005561398357,0.1310652659876662,0.1356384470907405,0.1501200489925392,0.17709537200199718,0.24286176957663513
15508,0.15098714104985037,0.156174254912666,0.16126308527325187,0.1776275743208287,0.2082767528383663,0.2813790383775526
37629,0.11164972768139254,0.11565102562229773,0.11966790571664494,0.1323836908021667,0.15644893651527866,0.21649306227252418
21716,0.10571009577921821,0.10928437408071102,0.11323817659394332,0.12489067852650043,0.1486412821965495,0.20605588031578345
1682,0.12383396467413517,0.1276490114591622,0.13211744120143581,0.14639844723015202,0.1727442258524874,0.2373137035115856
2822,0.14952711856190284,0.1538449206452632,0.15916658424181723,0.1754985278116456,0.20638896666722167,0.2781431200512119
37651,0.13207458215825252,0.135992556361363,0.1414382245907177,0.15548799288524476,0.18373626119364733,0.25083410974771175
