layer,auroc,pr_auc
0,0.6565308347329031,0.26951825664242735
1,0.5981687733875483,0.2094128412688475
2,0.6485017236807213,0.25215905553099316
3,0.6749535932113497,0.27437315756077546
4,0.6911370399834998,0.2955769445136908
5,0.7160420165591208,0.32475288830266347
6,0.7295073514246146,0.34099873737838937
7,0.7357612186570022,0.3503050959773739
8,0.7534841922272312,0.3757216291149092
9,0.7717817260378915,0.3875463833723912
10,0.7823447950735142,0.4035864807736971
11,0.7899908659654086,0.4065302344901666
12,0.8371269041515659,0.48675716589334517
13,0.8395945667226494,0.4958695187975099
14,0.8299080703615309,0.47763115283294855
15,0.8270131706885884,0.46993725226184635
16,0.8197354076431242,0.44878433626540293
17,0.8245013111759332,0.4546714054425895
18,0.8208403311824154,0.44658330733560925
19,0.8213191313827749,0.45043417399816965
20,0.8224977164913522,0.4484027348238864
21,0.8276613924983058,0.45730495389704207
22,0.8368175255605644,0.46401785074753654
23,0.8327145761513303,0.45908389270517436
24,0.8452002121453196,0.48109517744134744
25,0.8458189693273226,0.4789607173542193
26,0.8539585727334336,0.496829716133523
27,0.8596747105100327,0.5022083262698809
28,0.8653687498158461,0.513921207528182
29,0.8690370959662924,0.5213881510078808
30,0.8780532720469078,0.5348746473054573
31,0.92442322991249,0.6647530061245747
